---------------------------- PROCESS STARTED (31142) for package com.example.bottleneckreader ----------------------------
2026-06-12 12:14:52.261 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  timestampNs,detected,s0,s1,s2,s3,s4,event
2026-06-12 12:14:54.014 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898629217041,0,,,,,,
2026-06-12 12:14:54.046 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898662542457,0,,,,,,
2026-06-12 12:14:54.086 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898695868082,0,,,,,,
2026-06-12 12:14:54.117 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898729193499,0,,,,,,
2026-06-12 12:14:54.146 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898762519124,0,,,,,,
2026-06-12 12:14:54.190 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898795844541,0,,,,,,
2026-06-12 12:14:54.218 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898829169957,0,,,,,,
2026-06-12 12:14:54.246 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898862495582,0,,,,,,
2026-06-12 12:14:54.281 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898895820999,0,,,,,,
2026-06-12 12:14:54.317 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898929146624,0,,,,,,
2026-06-12 12:14:54.351 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898962472041,0,,,,,,
2026-06-12 12:14:54.381 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111898995797457,0,,,,,,
2026-06-12 12:14:54.422 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899029123082,0,,,,,,
2026-06-12 12:14:54.454 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899062448499,0,,,,,,
2026-06-12 12:14:54.481 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899095774124,0,,,,,,
2026-06-12 12:14:54.525 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899129099541,0,,,,,,
2026-06-12 12:14:54.551 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899162424957,0,,,,,,
2026-06-12 12:14:54.581 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899195750582,0,,,,,,
2026-06-12 12:14:54.619 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899229075999,0,,,,,,
2026-06-12 12:14:54.658 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899262401624,0,,,,,,
2026-06-12 12:14:54.685 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899295727041,0,,,,,,
2026-06-12 12:14:54.715 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899329052457,0,,,,,,
2026-06-12 12:14:54.758 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899362378082,0,,,,,,
2026-06-12 12:14:54.791 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899395703499,0,,,,,,
2026-06-12 12:14:54.821 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899429029124,0,,,,,,
2026-06-12 12:14:54.850 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899462354541,0,,,,,,
2026-06-12 12:14:54.879 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899495679957,0,,,,,,
2026-06-12 12:14:54.921 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899529005582,0,,,,,,
2026-06-12 12:14:54.955 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899562330999,0,,,,,,
2026-06-12 12:14:54.982 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899595656624,0,,,,,,
2026-06-12 12:14:55.013 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899628982041,0,,,,,,
2026-06-12 12:14:55.056 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899662307457,0,,,,,,
2026-06-12 12:14:55.093 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899695633082,0,,,,,,
2026-06-12 12:14:55.130 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899728958499,0,,,,,,
2026-06-12 12:14:55.163 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899762284124,1,0.2772,0.2746,0.3518,0.1008,1.3201,
2026-06-12 12:14:55.208 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899795609541,1,0.3150,0.3271,0.3515,0.0572,1.3199,00001
2026-06-12 12:14:55.214 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899828934957,1,0.3648,0.3473,0.3257,0.0977,1.3217,
2026-06-12 12:14:55.246 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899862260582,1,0.3658,0.4080,0.3422,0.3177,1.3204,
2026-06-12 12:14:55.287 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899895585999,1,0.2955,0.3742,0.0651,1.3199,1.3201,
2026-06-12 12:14:55.323 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899928911624,1,0.3754,0.4301,0.1272,1.3207,1.3211,00011
2026-06-12 12:14:55.355 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899962237041,1,0.3518,0.3787,0.1213,1.3221,1.3217,
2026-06-12 12:14:55.382 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111899995562457,1,0.3338,0.2635,0.4713,1.3213,1.3209,
2026-06-12 12:14:55.423 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900028888082,1,0.3349,0.1135,1.3217,1.2735,1.3219,
2026-06-12 12:14:55.451 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900062213499,1,0.3113,0.1385,1.3221,1.2601,1.3225,00111
2026-06-12 12:14:55.496 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900095539124,1,0.3641,0.1030,1.3215,1.2424,1.3214,
2026-06-12 12:14:55.512 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900128864541,1,0.2231,1.3182,1.2860,1.2518,1.3212,
2026-06-12 12:14:55.565 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900162189957,1,0.0978,1.3223,1.2421,1.2411,1.3212,01111
2026-06-12 12:14:55.609 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900195515582,1,0.1813,1.3220,1.2378,1.2397,1.3215,
2026-06-12 12:14:55.613 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900228840999,1,0.1730,1.3221,1.2412,1.2383,1.3209,
2026-06-12 12:14:55.644 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900262166624,1,1.3194,1.2571,1.2382,1.2386,1.3213,
2026-06-12 12:14:55.696 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900295492041,1,1.3204,1.2743,1.2607,1.2479,1.3209,11111
2026-06-12 12:14:55.739 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900328817457,1,1.3204,1.2749,1.2706,1.2634,1.3199,
2026-06-12 12:14:55.746 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900362143082,1,1.3215,1.2458,1.2359,1.2464,1.3223,
2026-06-12 12:14:55.777 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900395468499,1,1.3209,1.2475,1.2401,1.3224,0.4509,
2026-06-12 12:14:55.828 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900428794124,1,1.3207,1.2690,1.2647,1.3205,0.2522,11110
2026-06-12 12:14:55.851 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900462119541,1,1.3235,1.2755,1.2702,1.3196,0.2941,
